Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
Mg AMX602,"The material was consolidated from alloyed powder obtained via SWAP. This process uses a combined gas- and water-atomized powder deposition to produce ultrafine-grained microstructures and super-saturation of alloying elements. According to the manufacturer and related reports on this Mg alloy [6–8], the SWAP process results in powder aggregates having irregular shapes, with a size in the range of 1–5 mm, and a submicrometer- sized grain structure (1 μm or smaller). The as-received powder was subsequently consolidated into billets by cold compaction (at room temperature) and hot-extruded between 573 and 673 K into rectangular bars. The resulting bars had dimensions of 25.4 mm (thickness) × 101.6 mm (width) × 1000 mm (length).",,,,,,,33.737±0.022,18.729±0.012,47.413±0.031,0.266,,6.0001±0.006,29.987±0.006,1,1.806±0.001,5701±20,3220±8,,Mg AMX602,1,2,42,375,,,,102mm diameter gas gun ,102,0.95,,"Farbaniec, L., Williams, C. L., Kecskes, L. J., Becker, R., & Ramesh, K. T. (2017). Spall response and failure mechanisms associated with a hot-extruded AMX602 Mg alloy. Materials Science and Engineering: A, 707, 725-731."
Mg AMX602,"The material was consolidated from alloyed powder obtained via SWAP. This process uses a combined gas- and water-atomized powder deposition to produce ultrafine-grained microstructures and super-saturation of alloying elements. According to the manufacturer and related reports on this Mg alloy [6–8], the SWAP process results in powder aggregates having irregular shapes, with a size in the range of 1–5 mm, and a submicrometer- sized grain structure (1 μm or smaller). The as-received powder was subsequently consolidated into billets by cold compaction (at room temperature) and hot-extruded between 573 and 673 K into rectangular bars. The resulting bars had dimensions of 25.4 mm (thickness) × 101.6 mm (width) × 1000 mm (length).",,,,,,,33.737±0.022,18.729±0.012,47.413±0.031,0.266,,6.0001±0.006,29.987±0.006,1,1.806±0.001,5701±20,3220±8,,Mg AMX602,1,2,42,594,,,,102mm diameter gas gun ,102,0.97,,"Farbaniec, L., Williams, C. L., Kecskes, L. J., Becker, R., & Ramesh, K. T. (2017). Spall response and failure mechanisms associated with a hot-extruded AMX602 Mg alloy. Materials Science and Engineering: A, 707, 725-731."
Mg AMX602,"The material was consolidated from alloyed powder obtained via SWAP. This process uses a combined gas- and water-atomized powder deposition to produce ultrafine-grained microstructures and super-saturation of alloying elements. According to the manufacturer and related reports on this Mg alloy [6–8], the SWAP process results in powder aggregates having irregular shapes, with a size in the range of 1–5 mm, and a submicrometer- sized grain structure (1 μm or smaller). The as-received powder was subsequently consolidated into billets by cold compaction (at room temperature) and hot-extruded between 573 and 673 K into rectangular bars. The resulting bars had dimensions of 25.4 mm (thickness) × 101.6 mm (width) × 1000 mm (length).",,,,,,,33.737±0.022,18.729±0.012,47.413±0.031,0.266,,6.0001±0.006,29.987±0.006,1,1.806±0.001,5701±20,3220±8,,Mg AMX602,1,2,42,782,,,,51mm diameter gas gun ,51,0.83,,"Farbaniec, L., Williams, C. L., Kecskes, L. J., Becker, R., & Ramesh, K. T. (2017). Spall response and failure mechanisms associated with a hot-extruded AMX602 Mg alloy. Materials Science and Engineering: A, 707, 725-731."
Mg AMX602,"The material was consolidated from alloyed powder obtained via SWAP. This process uses a combined gas- and water-atomized powder deposition to produce ultrafine-grained microstructures and super-saturation of alloying elements. According to the manufacturer and related reports on this Mg alloy [6–8], the SWAP process results in powder aggregates having irregular shapes, with a size in the range of 1–5 mm, and a submicrometer- sized grain structure (1 μm or smaller). The as-received powder was subsequently consolidated into billets by cold compaction (at room temperature) and hot-extruded between 573 and 673 K into rectangular bars. The resulting bars had dimensions of 25.4 mm (thickness) × 101.6 mm (width) × 1000 mm (length).",,,,,,,33.737±0.022,18.729±0.012,47.413±0.031,0.266,,6.0001±0.006,29.987±0.006,1,1.806±0.001,5701±20,3220±8,,Mg AMX602,1,2,42,980,,,,51mm diameter gas gun ,51,1.02,,"Farbaniec, L., Williams, C. L., Kecskes, L. J., Becker, R., & Ramesh, K. T. (2017). Spall response and failure mechanisms associated with a hot-extruded AMX602 Mg alloy. Materials Science and Engineering: A, 707, 725-731."
Mg AZ31B-4E,"A rectangular Mg alloy (AZ31B-H24) plate with the dimensions of 152.4 mm × 152.4 mm and a thickness of 12.7 mm was extruded by ECAE through a die using a hybrid 4E route. The 4E route implies that the plate was rotated about the plate normal 180° after the first pass, 90° after the second pass, and 180° after the third pass, and extruded through the die for a total of four passes. The plate processing temperature was varied from 498 K during the first two passes then was dropped to 473 K on the last two passes. The extrusions were performed with a back pressure ranging from 4.14 kPa to 6.89 kPa and the extrusion speed was 4.6 mm/min",,,,,,,37.867±0.218,16.664±0.054,43.596±0.136,0.308±0.001,890.5,5.89±0.007,41.938±0.008,3,1.773±0.005,5820±20,3065±9,,Mg AZ31B-4E,1,3,42,391,,,,102mm diameter gas gun ,102,0.92±0.01,,"Farbaniec, L., Williams, C. L., Kecskes, L., Ramesh, K. T., & Becker, R. (2016). Microstructural effects on the spall properties of ECAE-processed AZ31B magnesium alloy. International Journal of Impact Engineering, 98, 34-41."
Mg AZ31B-4E,"A rectangular Mg alloy (AZ31B-H24) plate with the dimensions of 152.4 mm × 152.4 mm and a thickness of 12.7 mm was extruded by ECAE through a die using a hybrid 4E route. The 4E route implies that the plate was rotated about the plate normal 180° after the first pass, 90° after the second pass, and 180° after the third pass, and extruded through the die for a total of four passes. The plate processing temperature was varied from 498 K during the first two passes then was dropped to 473 K on the last two passes. The extrusions were performed with a back pressure ranging from 4.14 kPa to 6.89 kPa and the extrusion speed was 4.6 mm/min",,,,,,,37.867±0.218,16.664±0.054,43.596±0.136,0.308±0.001,890.5,5.89±0.007,41.938±0.008,3,1.773±0.005,5820±20,3065±9,,Mg AZ31B-4E,1,3,42,571,,,,102mm diameter gas gun ,102,0.91±0.01,,"Farbaniec, L., Williams, C. L., Kecskes, L., Ramesh, K. T., & Becker, R. (2016). Microstructural effects on the spall properties of ECAE-processed AZ31B magnesium alloy. International Journal of Impact Engineering, 98, 34-41."
Mg AZ31B-4E,"A rectangular Mg alloy (AZ31B-H24) plate with the dimensions of 152.4 mm × 152.4 mm and a thickness of 12.7 mm was extruded by ECAE through a die using a hybrid 4E route. The 4E route implies that the plate was rotated about the plate normal 180° after the first pass, 90° after the second pass, and 180° after the third pass, and extruded through the die for a total of four passes. The plate processing temperature was varied from 498 K during the first two passes then was dropped to 473 K on the last two passes. The extrusions were performed with a back pressure ranging from 4.14 kPa to 6.89 kPa and the extrusion speed was 4.6 mm/min",,,,,,,37.867±0.218,16.664±0.054,43.596±0.136,0.308±0.001,890.5,5.89±0.007,41.938±0.008,3,1.773±0.005,5820±20,3065±9,,Mg AZ31B-4E,1,3,42,848,,,,51mm diameter gas gun ,51,0.88±0.01,,"Farbaniec, L., Williams, C. L., Kecskes, L., Ramesh, K. T., & Becker, R. (2016). Microstructural effects on the spall properties of ECAE-processed AZ31B magnesium alloy. International Journal of Impact Engineering, 98, 34-41."
Mg AZ31B-4E,"A rectangular Mg alloy (AZ31B-H24) plate with the dimensions of 152.4 mm × 152.4 mm and a thickness of 12.7 mm was extruded by ECAE through a die using a hybrid 4E route. The 4E route implies that the plate was rotated about the plate normal 180° after the first pass, 90° after the second pass, and 180° after the third pass, and extruded through the die for a total of four passes. The plate processing temperature was varied from 498 K during the first two passes then was dropped to 473 K on the last two passes. The extrusions were performed with a back pressure ranging from 4.14 kPa to 6.89 kPa and the extrusion speed was 4.6 mm/min",,,,,,,37.867±0.218,16.664±0.054,43.596±0.136,0.308±0.001,890.5,5.89±0.007,41.938±0.008,3,1.773±0.005,5820±20,3065±9,,Mg AZ31B-4E,1,3,42,995,,,,51mm diameter gas gun ,51,0.88±0.01,,"Farbaniec, L., Williams, C. L., Kecskes, L., Ramesh, K. T., & Becker, R. (2016). Microstructural effects on the spall properties of ECAE-processed AZ31B magnesium alloy. International Journal of Impact Engineering, 98, 34-41."
Mo,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,446,515,30,230,272,120,337,0.296,2890,10,75,95,10.15,6480,3490,,Mo,1,5,75,304.3,7.5±0.4,,,70mm bore 3m long single-stage gas gun,70,0.66,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Mo,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,446,515,30,230,272,120,337,0.296,2890,10,75,95,10.15,6480,3490,,Mo,1,5,75,438.4,11.5±0.5,,,70mm bore 3m long single-stage gas gun,70,0.57,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Mo,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,446,515,30,230,272,120,337,0.296,2890,10,75,95,10.15,6480,3490,,Mo,1,5,75,577.6,15.6±0.8,,,70mm bore 3m long single-stage gas gun,70,0.48,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Nb,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,207,284,46,80,169,48,103,0.403,2688,10,75,95,8.56,5110,2060,,Nb,1,5,75,283.2,5.4±0.2,,,70mm bore 3m long single-stage gas gun,70,3.58±0.2,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Nb,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,207,284,46,80,169,48,103,0.403,2688,10,75,95,8.56,5110,2060,,Nb,1,5,75,455.1,9.2±0.4,,,70mm bore 3m long single-stage gas gun,70,4.4±0.2,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Nb,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,207,284,46,80,169,48,103,0.403,2688,10,75,95,8.56,5110,2060,,Nb,1,5,75,607.4,12.4±0.6,,,70mm bore 3m long single-stage gas gun,70,4.17±0.2,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Nb,"Both materials were received in the form of 75 mm diameter hot forged bar stock, although the manufacturer did not specify the precise conditions. Each material was stress relieved; Niobium at 950 to 1000 °C for 70 minutes and molybdenum at 900 °C for 30 minutes.",,,207,284,46,80,169,48,103,0.403,2688,10,75,95,8.56,5110,2060,,Nb,1,5,75,753.9,15.1±0.7,,,70mm bore 3m long single-stage gas gun,70,3.7±0.2,,"Cotton, M., Millett, J., Whiteman, G., & Park, N. (2012, March). Spall strength of niobium and molybdenum. In AIP Conference Proceedings (Vol. 1426, No. 1, pp. 1031-1034). American Institute of Physics."
Ni,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,69,345,125,65,193.6,81.7,202,0.315,1723.5,4,60,200,8.9±0.01,5830±30,3030±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.53±0.02,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,69,345,125,65,193.6,81.7,202,0.315,1723.5,6,60,200,8.9±0.01,5830±30,3030±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.5±0.02,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,69,345,125,65,193.6,81.7,202,0.315,1723.5,8,60,200,8.9±0.01,5830±30,3030±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.52±0.02,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,69,345,125,65,193.6,81.7,202,0.315,1723.5,10,60,200,8.9±0.01,5830±30,3030±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.45±0.02,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni60Co,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,162,543,131,178,187.2,81.1,213,0.31,1747,4,60,100,8.78±0.01,5800±30,3040±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.48±0.02,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni60Co,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,162,543,131,178,187.2,81.1,213,0.31,1747,6,60,100,8.78±0.01,5800±30,3040±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.69±0.03,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni60Co,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,162,543,131,178,187.2,81.1,213,0.31,1747,10,60,100,8.78±0.01,5800±30,3040±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.87±0.05,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni3Al,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,188,842,28,382,188,74.4,203,0.325,1668,3.9,60,40,7.4±0.01,6230±30,3170±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.67±0.04,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
Ni3Al,"The pure Ni and the Ni-60Co were received in the form of ~60-mm forged bar stock (Special Metals, Wiggins, Hereford, United Kingdom). The original ingots were cast into tapered iron molds and air-cooled. The cast microstructure was broken down by hammer forging at 1080 C. The Ni3Al was manufactured from a gas atomised powder, canned in a mild steel container and extruded at 1273 K.",,,188,842,28,382,188,74.4,203,0.325,1668,7.9,60,40,7.4±0.01,6230±30,3170±30,,Cu,0,5,,,,,,"Single-stage, 50-mm bore, 5-m long gas gun",50,0.39±0.02,,"Millett, J. C., Bourne, N. K., & Gray Iii, G. T. (2008). The behavior of Ni, Ni-60Co, and Ni3Al during one-dimensional shock loading. Metallurgical and Materials Transactions A, 39(2), 322-334."
NiTi,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",,,,,,,,,,,,3,20,27,6.673±0.02,5380,1840,,Cu,0,1.5,56,270,4.747±0.052,,,φ57 mm power gun,57,2.714±0.042,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi ,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",Heat treatment,,,,,,,,,,,3,20,37,6.690±0.02,5160,1800,,Cu,0,1.5,56,270,4.595±0.045,,,φ57 mm power gun,57,2.582±0.036,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",,,,,,,,,,,,3,20,27,6.707±0.021,5380,1840,,Cu,0,1.5,56,310,5.345±0.047,,,φ57 mm power gun,57,2.754±0.064,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi ,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",Heat treatment,,,,,,,,,,,3,20,37,6.731±0.021,5160,1800,,Cu,0,1.5,56,310,5.167±0.048,,,φ57 mm power gun,57,2.547±0.036,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",,,,,,,,,,,,3,20,27,6.731±0.021,5380,1840,,Cu,0,1.5,56,340,5.904±0.051,,,φ57 mm power gun,57,2.730±0.122,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi ,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",Heat treatment,,,,,,,,,,,3,20,37,6.747±0.021,5160,1800,,Cu,0,1.5,56,340,5.750±0.051,,,φ57 mm power gun,57,2.516±0.031,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",,,,,,,,,,,,3,20,27,6.871±0.022,5380,1840,,Cu,0,1.5,56,521,9.173±0.052,,,φ57 mm power gun,57,2.532±0.039,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi ,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",Heat treatment,,,,,,,,,,,3,20,37,6.874±0.022,5160,1800,,Cu,0,1.5,56,521,9.133±0.070,,,φ57 mm power gun,57,2.538±0.058,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",,,,,,,,,,,,3,20,27,7.002±0.023,5380,1840,,Cu,0,1.5,56,699,12.632±0.097,,,φ57 mm power gun,57,2.579±0.109,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
NiTi ,"The chemical composition of as received near-equiatomic NiTi samples (AR-NiTi with a mole ratio of Ni:Ti = 50.7:49.3) is listed in Table 1. As a comparative sample, we heat-treat a part of AR-NiTi samples as follows (referred to as HT-NiTi): (1) hold at 500 ◦C in vacuum for 1 h; (2) cool in the furnace to 200 ◦C; (3) then immediately put in water for rapid cooling.",Heat treatment,,,,,,,,,,,3,20,37,6.992±0.023,5160,1800,,Cu,0,1.5,56,699,12.714±0.098,,,φ57 mm power gun,57,2.582±0.049,,"Jiao, Z., Li, Z., Wu, F., Wang, Q., Li, X., Xu, L., ... & Hu, J. (2023). Phase transition, twinning, and spall damage of NiTi shape memory alloys under shock loading. Materials Science and Engineering: A, 869, 144775."
Single-crystal Ta,"Long process, see section 2.1",,,,,,,,,,,,1.7,,,16.477,,,,Cu,0,1.55,,,,2.86,,two-stage gas gun experiment,,6.09,,"Beach, K., Horwitz, J. A., Maich, A., White, E., Ramos, D., Crum-Friedman, R. S., ... & Najjar, F. M. (2022). Constrained model calibration of grain structure dependent spall dynamics in shock-loaded tantalum. Journal of Applied Physics, 132(8)."
Polycrystal Ta,"Long process, see section 2.1",,,103,258,120,100,205,69,186,0.35,3267,1.7,,37.33,16.465,,,,Cu,0,1.55,,,,1.78,,two-stage gas gun experiment,,5.06,,"Beach, K., Horwitz, J. A., Maich, A., White, E., Ramos, D., Crum-Friedman, R. S., ... & Najjar, F. M. (2022). Constrained model calibration of grain structure dependent spall dynamics in shock-loaded tantalum. Journal of Applied Physics, 132(8)."
Polycrystal Ta,"Long process, see section 2.1",,,103,258,120,100,205,69,186,0.35,3267,1.7,,37.33,16.474,,,,Cu,0,1.55,,,,1.87,,two-stage gas gun experiment,,4.82,,"Beach, K., Horwitz, J. A., Maich, A., White, E., Ramos, D., Crum-Friedman, R. S., ... & Najjar, F. M. (2022). Constrained model calibration of grain structure dependent spall dynamics in shock-loaded tantalum. Journal of Applied Physics, 132(8)."
Polycrystal Ta,"Long process, see section 2.1",,,103,258,120,100,205,69,186,0.35,3267,1.7,,37.33,16.442,,,,Cu,0,1.55,,,,1.83,,two-stage gas gun experiment,,4.71,,"Beach, K., Horwitz, J. A., Maich, A., White, E., Ramos, D., Crum-Friedman, R. S., ... & Najjar, F. M. (2022). Constrained model calibration of grain structure dependent spall dynamics in shock-loaded tantalum. Journal of Applied Physics, 132(8)."
